country,year,dependency_ratio,gdp_growth,pop_growth,working_age_share,log_gdp_pc_lag1,investment_gdp_lag1,trade_gdp_lag1,inflation_log_lag1,is_global_crisis
ABW,1960,83.0461589735044,,,54.6320235971013,,,,,0
ABW,1961,81.9690917425185,,1.18734426572715,54.9538040789154,,,,,0
ABW,1962,81.0583167234617,,1.32622723498415,55.2308238636364,,,,,0
ABW,1963,79.7943477163765,,1.20366430885019,55.6187117882863,,,,,0
ABW,1964,78.152923352812,,1.07660194824525,56.1316579600479,,,,,0
ABW,1965,76.3547096617772,,0.986114424783721,56.7039010139199,,,,,0
ABW,1966,74.5909929204593,,0.862398829043227,57.2770872909728,,,,,0
ABW,1967,73.469387755102,,0.503043105597307,57.6465702104576,,,,,0
ABW,1968,73.0199179847686,,0.133831409365337,57.7971711289244,,,,,0
ABW,1969,72.6414266920041,,-0.0287840436795769,57.9243717401612,,,,,0
ABW,1970,72.1922009639258,,-0.172878468846149,58.074995123027,,,,,0
ABW,1971,71.5111020336708,,-0.287095354800503,58.3059007664106,,,,,0
ABW,1972,69.8095544568938,,-1.25656462134736,58.8890492482448,,,,,0
ABW,1973,67.2691800080335,,0.433191332877477,59.7841357437895,,,,,0
ABW,1974,64.7690048571106,,0.0857280074449621,60.6907621170287,,,,,0
ABW,1975,62.3680472383923,,-0.0925894239870965,61.5876670092497,,,,,0
ABW,1976,60.0263201184405,,0.125146806661145,62.4895954040247,,,,,0
ABW,1977,57.9060865814869,,0.362554694772122,63.3285103477427,,,,,0
ABW,1978,56.1598342145115,,0.334026691838903,64.0378165556798,,,,,0
ABW,1979,54.7032226026502,,0.703589498767673,64.6390719917281,,,,,0
ABW,1980,53.6206984973588,,1.20572409466493,65.0953432518255,,,,,0
ABW,1981,53.1031170210077,,1.08574012985549,65.3149391321106,,,,,0
ABW,1982,52.7165786063204,,1.17041035995923,65.4815488731405,,,,,0
ABW,1983,52.1591353677621,,1.54168100744254,65.7199686194955,,,,,0
ABW,1984,51.5467643232304,,1.07570026063362,65.9860247835575,,,,,0
ABW,1985,50.6884093350259,,-1.88244251078928,66.3619298948344,,,,,0
ABW,1986,49.621770066159,,-2.95437362586139,66.8351107723018,,,,1.6158688011289721,0
ABW,1987,48.5436649424999,16.0784313755902,-1.29651660780176,67.3203696694423,9.689715641924906,,,0.7294629130842119,0
ABW,1988,47.7390438247012,18.6486486682331,0.290320062131051,67.6877071681157,9.851776717194758,,,1.5353704996805841,0
ABW,1989,47.557551937114,12.1298405451924,1.85688371673627,67.7709417889257,10.019869924175412,,,1.4163065790256413,0
ABW,1990,48.3884698148455,3.96140172360629,3.75056134586705,67.3901572175749,10.115788391438693,,,1.607762118284257,0
ABW,1991,50.238252661818,7.96287173232642,4.88713560049167,66.5614715296876,10.117132284971806,,,1.9223033675043029,0
ABW,1992,51.0352827876029,5.88235395341866,4.61012241010557,66.2097904128584,10.1448781307408,,,1.880312866569536,0
ABW,1993,50.4215576196795,7.30769324531406,6.5620284925223,66.4795311763506,10.15593533003976,,,1.5837867914640886,0
ABW,1994,49.7915138411644,8.20390129312089,5.17037414583618,66.7592365705573,10.160845204658065,,,1.8270558191111705,0
ABW,1995,48.4495619338157,2.54714368704694,2.80831670109337,67.3628125082326,10.187988699287482,,,1.9893909663709293,0
ABW,1996,46.6724378566507,1.18578851134656,3.95074287081186,68.1793277439413,10.185057977537886,31.1336717428088,171.362098138748,1.4727910599625003,0
ABW,1997,45.3563969547935,7.04687499241221,3.87475976651232,68.7965822714579,10.157338680104088,28.4615384615385,175.344129554656,1.441087417572753,0
ABW,1998,44.3940185451221,1.99198444906199,2.4607540856619,69.2546880408704,10.186687719023217,30.2334062727936,168.781911013858,1.3862813854817375,0
ABW,1999,43.6697806335828,1.2380418420716,1.35648590551186,69.6044361437005,10.18180421854218,31.7007715531701,163.267359946327,1.0541338034913543,0
ABW,2000,43.3179869318272,7.62292064930222,1.03081685259869,69.7746207533672,10.180543767247153,30.8690012970169,164.559014267185,1.1879568252911674,0
ABW,2001,43.2308391159286,4.1820016304779,0.93503293482838,69.8178395437683,10.243699054962644,25.4941135775374,145.072879516204,1.6182036432930174,0
ABW,2002,43.0780227806007,-0.944953481157384,0.692051826700269,69.8922613087324,10.27531792495204,23.9991775312859,140.391108618306,1.3567636665476992,0
