Time,Electric_demand,Temperature,Humidity,Wind_speed,GHI,PV_production,Wind_production
2019-01-01 00:00:00,21851.416666666668,1.6833333333333336,55.809333333333335,2.8383333333333334,0.0,0.0,2812.0833333333335
2019-01-01 01:00:00,21099.666666666668,1.405,55.159,2.7699999999999996,0.0,0.0,2499.5
2019-01-01 02:00:00,20495.416666666668,1.1866666666666668,54.532833333333336,2.69,0.0,0.0,2387.0833333333335
2019-01-01 03:00:00,20147.5,0.985,54.31783333333334,2.6550000000000002,0.0,0.0,2369.3333333333335
2019-01-01 04:00:00,20144.416666666668,0.8116666666666666,54.29666666666666,2.6283333333333334,0.0,0.0,2323.0833333333335
2019-01-01 05:00:00,20567.666666666668,0.6816666666666666,53.91283333333334,2.5716666666666668,0.0,0.0,2140.4166666666665
2019-01-01 06:00:00,21326.5,0.9483333333333334,52.255,2.535,0.0,0.6666666666666666,2073.25
2019-01-01 07:00:00,21390.0,2.436666666666667,47.13333333333333,2.866666666666667,44.4,1005.75,1946.3333333333333
2019-01-01 08:00:00,20820.5,4.8566666666666665,39.211333333333336,3.5283333333333338,194.33333333333334,4952.833333333333,1963.3333333333333
2019-01-01 09:00:00,20155.166666666668,7.046666666666667,32.737500000000004,3.8550000000000004,344.98333333333335,7667.083333333333,1903.9166666666667
2019-01-01 10:00:00,19550.0,8.811666666666667,28.92316666666667,3.838333333333333,462.01666666666665,8253.0,1879.4166666666667
2019-01-01 11:00:00,18951.916666666668,10.036666666666667,26.83633333333334,3.773333333333333,527.0833333333334,8164.833333333333,1994.4166666666667
2019-01-01 12:00:00,18598.0,10.705,26.233166666666666,3.7899999999999996,519.0166666666667,8135.833333333333,1726.1666666666667
2019-01-01 13:00:00,18624.0,10.846666666666666,26.885666666666665,3.7899999999999996,472.01666666666665,8254.166666666666,1400.1666666666667
2019-01-01 14:00:00,19202.416666666668,10.313333333333334,30.1375,3.5050000000000003,358.8833333333334,7693.0,1126.8333333333333
2019-01-01 15:00:00,20349.583333333332,9.760000000000002,33.612,3.22,205.91666666666666,5060.833333333333,757.1666666666666
2019-01-01 16:00:00,22596.0,6.168333333333334,44.7665,2.4033333333333333,46.166666666666664,983.9166666666666,543.75
2019-01-01 17:00:00,25972.0,5.158333333333334,46.7275,2.3466666666666667,0.0,3.25,464.8333333333333
