Time,Ist,ARIMA,SARIMA,SARIMAX
2021-12-18 23:00:00,24817.166666666668,24895.82680222795,24576.039683017352,24405.99941348157
2021-12-19 00:00:00,23645.166666666668,24965.38073561746,23365.633236080437,23210.10435609984
2021-12-19 01:00:00,22879.25,25075.984363871645,22528.76591188319,22363.50584174716
2021-12-19 02:00:00,22407.583333333332,25209.82441939492,22031.138872717314,21848.624561402114
2021-12-19 03:00:00,22187.0,25349.69647273515,21877.24085326367,21690.466287519695
2021-12-19 04:00:00,22258.25,25480.62465934092,22295.084392126628,22101.894731869783
2021-12-19 05:00:00,22663.0,25590.992039526474,23547.69896436167,23356.053246124255
2021-12-19 06:00:00,23492.5,25673.149121047834,25666.796174848645,25495.176463591597
2021-12-19 07:00:00,23983.0,25723.525602093105,27014.411684240746,26816.887039918798
2021-12-19 08:00:00,23795.416666666668,25742.315922996386,26752.93778532256,26466.05346660858
2021-12-19 09:00:00,23178.666666666668,25732.8402085711,25971.76912799059,25601.995196364835
2021-12-19 10:00:00,22157.166666666668,25700.697912883363,25082.70098453358,24648.111035633807
2021-12-19 11:00:00,21299.666666666668,25652.83289562618,24397.561145669606,23965.16360044247
2021-12-19 12:00:00,20897.416666666668,25596.617971678344,24094.168620967044,23645.197171494543
2021-12-19 13:00:00,20950.25,25539.047247109313,24243.021217389945,23812.17631134147
2021-12-19 14:00:00,21650.416666666668,25486.099244156296,24794.198305258928,24367.444459552673
2021-12-19 15:00:00,23353.333333333332,25442.306374697288,25835.212429526753,25429.425808266886
2021-12-19 16:00:00,25499.583333333332,25410.53984033698,27560.276855090033,27239.732993132682
2021-12-19 17:00:00,28187.416666666668,25391.99600682033,29766.681491470445,29468.21420940025
2021-12-19 18:00:00,28551.416666666668,25386.35245529931,29911.3704269648,29618.434119191657
2021-12-19 19:00:00,28447.583333333332,25392.050183681826,29485.17123167923,29180.799858219278
2021-12-19 20:00:00,28136.333333333332,25406.652983837696,28893.901342954894,28581.990585211926
2021-12-19 21:00:00,27481.916666666668,25427.235365542136,27947.033272474186,27615.03160156171
2021-12-19 22:00:00,26041.416666666668,25450.755547818535,26320.60712223559,25961.188288094447
2021-12-19 23:00:00,24338.5,25474.378687204917,24591.09928177023,24194.585575210505
2021-12-20 00:00:00,23231.583333333332,25495.72621987989,23379.172938551408,22960.48395069701
2021-12-20 01:00:00,22545.166666666668,25513.038551314727,22541.598257853533,22118.0879025499
2021-12-20 02:00:00,22183.416666666668,25525.249090960253,22043.901267271936,21640.147765075653
2021-12-20 03:00:00,22082.166666666668,25531.976821944194,21890.39524698994,21539.924305854245
2021-12-20 04:00:00,22554.583333333332,25533.45155649463,22308.930825417934,22006.730148206378
2021-12-20 05:00:00,24002.083333333332,25530.390428257786,23562.3979768626,23297.76584765267
2021-12-20 06:00:00,25973.0,25523.845994312203,25682.395804257176,25464.759257626967
